Name                                                                    | Base Price | Type
WowBlast Desperado Toy Pistol Magazine (10 cap)                     | 5          | Personal Weapons/Attachments
Fried Seanut with Sauce                                             | 17         | Miscellaneous/Foods
Zenith Laser Sniper Rifle Battery (22 Cap)                          | 347        | Personal Weapons/Attachments

Pyro - Bloom - Carver's Ridge - shop_terminal

Lynx Arms Sandstorm                                                 | 407        | Armor/Arms
Rust (Bottle)                                                       | 5          | Miscellaneous/Drinks
TruHold Tractor Beam Attachment                                     | 450        | Personal Weapons/Attachments
FSK-8 Combat Knife                                                  | 1250       | Personal Weapons/Personal Weapons
Sharud Wrap and Arm Bands Spruce                                    | 4320       | Clothing/Jackets
J-5 Helmet                                                          | 1200       | Armor/Helmets
Carafi Cube                                                         | 7          | Miscellaneous/Foods
Pyro RYT Multi-Tool                                                 | 485        | Personal Weapons/Personal Weapons
Oracle Helmet Sandstorm                                             | 1115       | Armor/Helmets
Waveshift                                                           | 19125      | Utility/Gadgets
OxyPen                                                              | 260        | Miscellaneous/Consumables
Tempus Tank Charcoal                                                | 1664       | Clothing/Shirts
DetoxPen (Resurgera)                                                | 240        | Miscellaneous/Consumables
ReadyMeal (Beef Chunks)                                             | 14         | Miscellaneous/Foods
Deadhead Helmet (01_01_01)                                          | 5400       | Armor/Helmets
Pink QuikFlare                                                      | 23         | Personal Weapons/Personal Weapons
TCS-4 Undersuit Black/Grey                                          | 864        | Undersuits/Undersuits
Reclaimed Water (1_a)                                               | 3          | Miscellaneous/Drinks
MedPen (Hemozal)                                                    | 265        | Miscellaneous/Consumables
Why Not? Helmet                                                     | 923        | Armor/Helmets
Fuse                                                                | 180        | Miscellaneous/Miscellaneous
Aloprat Skewer                                                      | 9          | Miscellaneous/Foods
Katla Mask Blue                                                     | 778        | Clothing/Hats
Lynx Core Sandstorm                                                 | 1258       | Armor/Torso
Kavir Pants Spruce                                                  | 2592       | Clothing/Legwear
Courser Jeans Charcoal                                              | 540        | Clothing/Legwear
DeconPen (Canoiodide)                                               | 265        | Miscellaneous/Consumables
Sabir                                                               | 13815      | Utility/Gadgets
MacFlex Backpack Granite Red                                        | 1320       | Armor/Backpacks
Fried Seanut with Sauce                                             | 17         | Miscellaneous/Foods
Lynx Legs Sandstorm                                                 | 718        | Armor/Legs

Pyro - Bloom - Frigid Knot - shop_terminal

Rust (Bottle)                                                       | 5          | Miscellaneous/Drinks
TruHold Tractor Beam Attachment                                     | 450        | Personal Weapons/Attachments
FSK-8 Combat Knife                                                  | 1250       | Personal Weapons/Personal Weapons
J-5 Helmet                                                          | 12000      | Armor/Helmets
Carafi Cube                                                         | 7          | Miscellaneous/Foods
Pyro RYT Multi-Tool                                                 | 485        | Personal Weapons/Personal Weapons
OxyPen                                                              | 260        | Miscellaneous/Consumables
DetoxPen (Resurgera)                                                | 240        | Miscellaneous/Consumables
ReadyMeal (Beef Chunks)                                             | 14         | Miscellaneous/Foods
Pink QuikFlare                                                      | 23         | Personal Weapons/Personal Weapons
Reclaimed Water (1_a)                                               | 3          | Miscellaneous/Drinks
MedPen (Hemozal)                                                    | 265        | Miscellaneous/Consumables
Why Not? Helmet                                                     | 923        | Armor/Helmets
Fuse                                                                | 180        | Miscellaneous/Miscellaneous
Aloprat Skewer                                                      | 9          | Miscellaneous/Foods
DeconPen (Canoiodide)                                               | 265        | Miscellaneous/Consumables
MacFlex Backpack Granite Red                                        | 1320       | Armor/Backpacks
WowBlast Desperado Toy Pistol Magazine (10 cap)                     | 5          | Personal Weapons/Attachments
Fried Seanut with Sauce                                             | 17         | Miscellaneous/Foods

Pyro - Bloom - Narena's Rest - shop_terminal

Rust (Bottle)                                                       | 5          | Miscellaneous/Drinks
TruHold Tractor Beam Attachment                                     | 450        | Personal Weapons/Attachments
FSK-8 Combat Knife                                                  | 1250       | Personal Weapons/Personal Weapons
LH86 Pistol Magazine (25 cap)                                       | 168        | Personal Weapons/Attachments
Cassidy Shirt                                                       | 471        | Clothing/Shirts
Guerra Pants Stonewall                                              | 2592       | Clothing/Legwear
Tekaw Pants Crimson                                                 | 713        | Clothing/Legwear
Nivala Shoes Ash                                                    | 195        | Clothing/Footwear
Brocius Waist Apron                                                 | 6048       | Clothing/Jackets
LH86 "Desert Shadow" Pistol                                         | 939        | Personal Weapons/Personal Weapons
J-5 Helmet                                                          | 1200       | Armor/Helmets
Carafi Cube                                                         | 7          | Miscellaneous/Foods
Cardona Jacket Sand                                                 | 4407       | Clothing/Jackets
Pyro RYT Multi-Tool                                                 | 485        | Personal Weapons/Personal Weapons
Deri Gloves Crimson                                                 | 389        | Clothing/Gloves
Taos Balaclava and Goggles                                          | 1100       | Clothing/Hats
Taberna Jacket Ash                                                  | 1880       | Clothing/Jackets
Cerrado Boots Slate                                                 | 1556       | Clothing/Footwear
OxyPen                                                              | 260        | Miscellaneous/Consumables
Chada Collar and Panniers Sandalwood                                | 6048       | Clothing/Jackets
Aster Gloves Moss                                                   | 692        | Clothing/Gloves
Cambio-Lite SRT Canister                                            | 264        | Personal Weapons/Attachments
Salluq Mask Brown (03_01_01)                                        | 950        | Clothing/Hats
Markanda Undersuit Deadwood (Refurbished)                           | 735        | Undersuits/Undersuits
DetoxPen (Resurgera)                                                | 240        | Miscellaneous/Consumables
ReadyMeal (Beef Chunks)                                             | 14         | Miscellaneous/Foods
Rockridge Boots                                                     | 432        | Clothing/Footwear
Pink QuikFlare                                                      | 23         | Personal Weapons/Personal Weapons
Reclaimed Water (1_a)                                               | 3          | Miscellaneous/Drinks
MedPen (Hemozal)                                                    | 265        | Miscellaneous/Consumables
Why Not? Helmet                                                     | 923        | Armor/Helmets
Kaswal Jacket Taupe                                                 | 4234       | Clothing/Jackets
Taos Balaclava and Goggles Crimson                                  | 1158       | Clothing/Hats
Taftan Boots Spruce                                                 | 238        | Clothing/Footwear
Fuse                                                                | 180        | Miscellaneous/Miscellaneous
Coda Pistol Magazine (6 cap)                                        | 120        | Personal Weapons/Attachments
Salluq Mask Brown (03_01_18)                                        | 951        | Clothing/Hats
Cambio-Lite SRT Attachment                                          | 360        | Personal Weapons/Attachments
Deri Gloves Tactical                                                | 389        | Clothing/Gloves
Aloprat Skewer                                                      | 9          | Miscellaneous/Foods
Coda Pistol                                                         | 910        | Personal Weapons/Personal Weapons
Cambio-Lite SRT Canister (Filled)                                   | 264        | Personal Weapons/Attachments
Siebe Helmet Beachhead                                              | 12099      | Armor/Helmets
DeconPen (Canoiodide)                                               | 265        | Miscellaneous/Consumables
MacFlex Backpack Granite Red                                        | 1320       | Armor/Backpacks
Fried Seanut with Sauce                                             | 17         | Miscellaneous/Foods
Adroit Gloves Indigo                                                | 1296       | Clothing/Gloves

Pyro - Bloom - Orbituary - Clinic - medical_shop

LifeGuard Refill                                                    | 125        | Personal Weapons/Attachments
CorticoPen (Sterogen)                                               | 295        | Miscellaneous/Consumables
ParaMed Medical Device                                              | 1250       | Personal Weapons/Personal Weapons
OxyPen                                                              | 260        | Miscellaneous/Consumables
LifeGuard Medical Attachment                                        | 350        | Personal Weapons/Attachments
DetoxPen (Resurgera)                                                | 240        | Miscellaneous/Consumables
MedPen (Hemozal)                                                    | 265        | Miscellaneous/Consumables
AdrenaPen (Demexatrine)                                             | 260        | Miscellaneous/Consumables
DeconPen (Canoiodide)                                               | 265        | Miscellaneous/Consumables
OpioPen (Roxaphen)                                                  | 240        | Miscellaneous/Consumables
ParaMed Refill                                                      | 250        | Personal Weapons/Attachments

Pyro - Bloom - Orbituary - Hangar Transit - Cargo Deck - Cargo Shop

TruHold Tractor Beam Attachment                                     | 450        | Personal Weapons/Attachments
Landlite Boots Red                                                  | 235        | Clothing/Footwear
TruBarrier Hazard Suit Moss                                         | 1551       | Clothing/Jackets
Hardline Hard Hat White/Blue                                        | 325        | Clothing/Hats
Aril Backpack Hazard                                                | 1900       | Armor/Backpacks
Davin Work Gloves Red                                               | 180        | Clothing/Gloves
MacFlex Legs                                                        | 1089       | Armor/Legs
Tru Barrier Hazard Suit Cinnabar                                    | 1551       | Clothing/Jackets
Hardline Hard Hat Black                                             | 325        | Clothing/Hats
Gauntlet Gloves                                                     | 160        | Clothing/Gloves
MaxLift Tractor Beam                                                | 19000      | Personal Weapons/Personal Weapons
Slickdry Waders                                                     | 3456       | Clothing/Legwear
Davin Work Gloves White                                             | 180        | Clothing/Gloves
Davin Work Gloves Yellow                                            | 180        | Clothing/Gloves
Pyro RYT Multi-Tool                                                 | 485        | Personal Weapons/Personal Weapons
TruBarrier Hazard Suit Mask Cinnabar                                | 428        | Clothing/Hats
TruBarrier Hazard Suit Mask Hi-Vis Yellow                           | 428        | Clothing/Hats
Stor*All 1 SCU Self-Storage Container                               | 2100       | Utility/Containers
IronBand Hard Hat                                                   | 350        | Clothing/Hats
Slickdry Waders Primrose                                            | 3456       | Clothing/Legwear
Ponos Boots Blue                                                    | 415        | Clothing/Footwear
TruBarrier Hazard Suit Mask Moss                                    | 428        | Clothing/Hats
Davin Work Gloves Olive                                             | 180        | Clothing/Gloves
Stor*All 8 SCU Self-Storage Container                               | 16800      | Utility/Containers
Cambrio SRT Battery                                                 | 157        | Personal Weapons/Attachments
LifeCore Boots                                                      | 265        | Clothing/Footwear
TruBarrier Hazard Suit Slate                                        | 1551       | Clothing/Jackets
CRUZ Lux                                                            | 7          | Miscellaneous/Drinks
Toughlife Boots Grey                                                | 245        | Clothing/Footwear
MacFlex Core "Rucksack"                                             | 890        | Armor/Torso
Toughlife Boots Green                                               | 245        | Clothing/Footwear
Enkel Shirt Sirocco                                                 | 398        | Clothing/Shirts
Davin Work Gloves Dark Green                                        | 180        | Clothing/Gloves
ADP-mk4 Helmet Woodland                                             | 5176       | Armor/Helmets
OxyTorch Cutter Attachment                                          | 250        | Personal Weapons/Attachments
Slickdry Waders Sirocco                                             | 3456       | Clothing/Legwear
MacFlex "Rucksack" Backpack                                         | 660        | Armor/Backpacks
Horizon Helmet                                                      | 1602       | Armor/Helmets
ADP-mk4 Core Woodland                                               | 5587       | Armor/Torso
Landlite Boots White                                                | 235        | Clothing/Footwear
Aril Core Hazard                                                    | 5168       | Armor/Torso
Ponos Boots Desert                                                  | 415        | Clothing/Footwear
TruBarrier Hazard Suit Mask Slate                                   | 428        | Clothing/Hats
Slickdry Waders Saddle                                              | 3456       | Clothing/Legwear
Enkel Shirt Valencia                                                | 398        | Clothing/Shirts
Enkel Shirt Primrose                                                | 398        | Clothing/Shirts
TruBarrier Hazard Suit Hi-Vis Yellow                                | 1551       | Clothing/Jackets
Aril Helmet Hazard                                                  | 2924       | Armor/Helmets
Enkel Shirt                                                         | 398        | Clothing/Shirts
Toughlife Boots Red                                                 | 245        | Clothing/Footwear
Ponos Boots Red                                                     | 415        | Clothing/Footwear
ADP-mk4 Legs Woodland                                               | 2615       | Armor/Legs
Beacon Undersuit                                                    | 500        | Undersuits/Undersuits
MacFlex Arms                                                        | 584        | Armor/Arms
ADP-mk4 Arms Woodland                                               | 1521       | Armor/Arms
TruBarrier Hazard Suit Mask Cobalt                                  | 428        | Clothing/Hats
MaxLift Tractor Beam Battery                                        | 175        | Personal Weapons/Attachments
Stor*All 1/8 SCU Storage Box                                        | 1237       | Utility/Containers
Mercury Gloves                                                      | 160        | Clothing/Gloves
Davin Work Gloves Violet                                            | 180        | Clothing/Gloves
Aril Legs Hazard                                                    | 1790       | Armor/Legs
Stor*All 4 SCU Self-Storage Container                               | 8500       | Utility/Containers
Slickdry Waders Valencia                                            | 3456       | Clothing/Legwear
Stor*All 2 SCU Self-Storage Container                               | 4250       | Utility/Containers
GEO Resource Pod                                                    | 1250       | Utility/Containers
OreBit Mining Attachment                                            | 370        | Personal Weapons/Attachments
Enkel Shirt Saddle                                                  | 398        | Clothing/Shirts
Wanderer Boots Redline                                              | 225        | Clothing/Footwear
Karoby Energy Bar (Tahini & Carob)                                  | 5          | Miscellaneous/Foods
Aril Arms Hazard                                                    | 923        | Armor/Arms
MacFlex Core                                                        | 890        | Armor/Torso
Buster's Chocolate Bar                                              | 2          | Miscellaneous/Foods
CSP-68H Backpack                                                    | 2500       | Armor/Backpacks
Landlite Boots Tan                                                  | 235        | Clothing/Footwear
TruHold Tractor Beam Attachment                                     | 450        | Personal Weapons/Attachments
Tigersclaw                                                          | 2550       | Miscellaneous/Consumables
mobiGlas Maroon Casing                                              | 3950       | Technology/Mobiglass
mobiGlas Charcoal Casing                                            | 3950       | Technology/Mobiglass
OxyTorch Cutter Attachment                                          | 250        | Personal Weapons/Attachments
mobiGlas Sapphire Casing                                            | 3950       | Technology/Mobiglass
mobiGlas Snow Casing                                                | 3950       | Technology/Mobiglass
Cambio-Lite SRT Attachment                                          | 375        | Personal Weapons/Attachments
mobiGlas Woodland Casing                                            | 3950       | Technology/Mobiglass
mobiGlas Apricot Casing                                             | 3950       | Technology/Mobiglass
OreBit Mining Attachment                                            | 375        | Personal Weapons/Attachments
mobiGlas Original Casing                                            | 3950       | Technology/Mobiglass
mobiGlas Cedar Casing                                               | 3950       | Technology/Mobiglass

Pyro - Bloom - Orbituary - Hangar Transit - Refinery - Shops - Equipment - Supplies

TruHold Tractor Beam Attachment                                     | 450        | Personal Weapons/Attachments
BoreMax                                                             | 12750      | Utility/Gadgets
TruBarrier Hazard Suit Moss                                         | 1795       | Clothing/Jackets
Arbor MHV Mining Laser                                              | 5150       | Utility/Mining Laser Heads
Landlite Boots Black                                                | 235        | Clothing/Footwear
Stalwart                                                            | 20190      | Utility/Gadgets
Brandt Module                                                       | 2250       | Utility/Mining Modules
GSX-HP                                                              | 115200     | Utility/External Fuel Tanks
S00 Hofstede                                                        | 5750       | Utility/Mining Laser Heads
Davin Work Gloves Aqua                                              | 180        | Clothing/Gloves
Toughlife Boots Olive                                               | 245        | Clothing/Footwear
Gauntlet Gloves                                                     | 160        | Clothing/Gloves
Rieger-C3 Module                                                    | 60000      | Utility/Mining Modules
SureGrip S1 Tractor Beam                                            | 4600       | Utility/Tractor Beams
SureGrip HV-S1 Tractor Beam                                         | 4600       | Utility/Tractor Beams
Rieger-C2 Module                                                    | 18000      | Utility/Mining Modules
Edgewear Pants Black                                                | 465        | Clothing/Legwear
Pyro RYT Multi-Tool                                                 | 485        | Personal Weapons/Personal Weapons
SureGrip HV-S2 Tractor Beam                                         | 12200      | Utility/Tractor Beams
Helix II Mining Laser                                               | 108000     | Utility/Mining Laser Heads
SureGrip HV-S3 Tractor Beam                                         | 24400      | Utility/Tractor Beams
Lawson Mining Laser                                                 | 4950       | Utility/Mining Laser Heads
Stor*All 1 SCU Self-Storage Container                               | 2100       | Utility/Containers
Edgewear Pants Olive                                                | 465        | Clothing/Legwear
Torpid Module                                                       | 1950       | Utility/Mining Modules
Tussock Boots Hematite                                              | 395        | Clothing/Footwear
Rime Module                                                         | 1100       | Utility/Mining Modules
Drake Ore Pod                                                       | 25500      | Utility/Containers
WorkLife Pants Straw                                                | 420        | Clothing/Legwear
TruBarrier Hazard Suit Mask Moss                                    | 495        | Clothing/Hats
Hardline Hard Hat Hazard                                            | 325        | Clothing/Hats
ClipVest Work Harness Orange                                        | 1325       | Clothing/Jackets
OxyPen                                                              | 260        | Miscellaneous/Consumables
Vaux Module                                                         | 2000       | Utility/Mining Modules
Tussock Boots Olivine                                               | 395        | Clothing/Footwear
Cambio-Lite SRT Canister                                            | 275        | Personal Weapons/Attachments
Cambrio SRT Battery                                                 | 157        | Personal Weapons/Attachments
Davin Work Gloves Black                                             | 180        | Clothing/Gloves
Okunis                                                              | 23250      | Utility/Gadgets
TruBarrier Hazard Suit Slate                                        | 1795       | Clothing/Jackets
Ponos Boots Tan                                                     | 415        | Clothing/Footwear
Pink QuikFlare                                                      | 23         | Personal Weapons/Personal Weapons
Toughlife Boots Grey                                                | 245        | Clothing/Footwear
IndVest Jacket Yellow                                               | 1485       | Clothing/Jackets
MedPen (Hemozal)                                                    | 265        | Miscellaneous/Consumables
Harkin                                                              | 20500      | Utility/Docking Collars
Ready-Up Helmet Imperial                                            | 270        | Clothing/Hats
Ready-Up Helmet Green                                               | 270        | Clothing/Hats
OxyTorch Cutter Attachment                                          | 250        | Personal Weapons/Attachments
Ready-Up Helmet Violet                                              | 270        | Clothing/Hats
MacFlex "Rucksack" Backpack                                         | 1320       | Armor/Backpacks
Hardline Hard Hat White                                             | 325        | Clothing/Hats
RN-7s                                                               | 16650      | Utility/Docking Collars
SureGrip S2 Tractor Beam                                            | 12200      | Utility/Tractor Beams
S0 Helix                                                            | 8500       | Utility/Mining Laser Heads
Day One Shirt Olive                                                 | 570        | Clothing/Shirts
Cambio-Lite SRT Attachment                                          | 360        | Personal Weapons/Attachments
TruBarrier Hazard Suit Mask Slate                                   | 495        | Clothing/Hats
GSX-RF                                                              | 52500      | Utility/External Fuel Tanks
Lifeline Module                                                     | 800        | Utility/Mining Modules
Day One Shirt Orange                                                | 570        | Clothing/Shirts
SureGrip PR-S1 Tractor Beam                                         | 4600       | Utility/Tractor Beams
Day One Shirt Black                                                 | 570        | Clothing/Shirts
Davin Work Gloves Orange                                            | 180        | Clothing/Gloves
Norfield                                                            | 11250      | Utility/Docking Collars
Lancet MH1 Mining Laser                                             | 23500      | Utility/Mining Laser Heads
Edgewear Pants Orange                                               | 465        | Clothing/Legwear
Cambio-Lite SRT Canister (Filled)                                   | 275        | Personal Weapons/Attachments
Lancet MH2 Mining Laser                                             | 94000      | Utility/Mining Laser Heads
Mercury Gloves                                                      | 160        | Clothing/Gloves
MISC Ore Pod                                                        | 15500      | Utility/Containers
Sabir                                                               | 13815      | Utility/Gadgets
ClipVest Work Harness Aqua                                          | 1325       | Clothing/Jackets
Stor*All 2 SCU Self-Storage Container                               | 4250       | Utility/Containers
GEO Resource Pod                                                    | 1250       | Utility/Containers
OreBit Mining Attachment                                            | 375        | Personal Weapons/Attachments
CR-60                                                               | 78600      | Utility/External Fuel Tanks
ViseLock S2 Tractor Beam                                            | 12200      | Utility/Tractor Beams
FLTR-L Module                                                       | 18000      | Utility/Mining Modules
Klein-S1 Mining Laser                                               | 10150      | Utility/Mining Laser Heads
Ready-Up Helmet Dark Green                                          | 270        | Clothing/Hats
Greycat ROC-DS Ore Pod                                              | 5000       | Utility/Containers
Focus Module                                                        | 4000       | Utility/Mining Modules
Greycat ROC Ore Pod                                                 | 5000       | Utility/Containers
TrailTuff Boots                                                     | 235        | Clothing/Footwear
Argo Ore Pod                                                        | 21500      | Utility/Containers
CSP-68H Backpack                                                    | 2500       | Armor/Backpacks
IndVest Jacket Olive                                                | 1485       | Clothing/Jackets

Pyro - Bloom - Orbituary - Hangar Transit - Ship Dealer - Buy and Fly

Argo ATLS                                                           | 75600      | Vehicle/Vehicle
Drake Vulture                                                       | 2646000    | Vehicle/Vehicle
Drake Dragonfly                                                     | 342720     | Vehicle/Vehicle
MISC Fortune                                                        | 1890000    | Vehicle/Vehicle
Drake Cutlass Red                                                   | 2857680    | Vehicle/Vehicle
Tumbril Cyclone                                                     | 103950     | Vehicle/Vehicle
Argo ATLS GEO                                                       | 90720      | Vehicle/Vehicle
Drake Golem                                                         | 1058400    | Vehicle/Vehicle
Tumbril Nova                                                        | 907200     | Vehicle/Vehicle
Greycat STV                                                         | 75600      | Vehicle/Vehicle
Argo CSV-SM                                                         | 378000     | Vehicle/Vehicle
Drake Buccaneer                                                     | 1663200    | Vehicle/Vehicle
MISC Prospector                                                     | 2929500    | Vehicle/Vehicle

Pyro - Bloom - Orbituary - Hangar Transit - Station Convenience

Carafi Packet                                                       | 19         | Miscellaneous/Foods
Nomo Grub Packet                                                    | 18         | Miscellaneous/Foods
DetoxPen (Resurgera)                                                | 240        | Miscellaneous/Consumables
AdrenaPen (Demexatrine)                                             | 260        | Miscellaneous/Consumables
DeconPen (Canoiodide)                                               | 265        | Miscellaneous/Consumables
OpioPen (Roxaphen)                                                  | 240        | Miscellaneous/Consumables
Reclaimed Water (2_a)                                               | 3          | Miscellaneous/Drinks
Reclaimed Water (1_a)                                               | 4          | Miscellaneous/Drinks

Pyro - Bloom - Orbituary - Shops - Bar

Smoltz (Bottle)                                                     | 12         | Miscellaneous/Drinks
Tumbler Glass                                                       | 8          | Miscellaneous/Drinks
Highball Glass                                                      | 8          | Miscellaneous/Drinks
Pint Glass                                                          | 7          | Miscellaneous/Drinks

Pyro - Bloom - Orbituary - Shops - Chuan

Meat Skewer                                                         | 5          | Miscellaneous/Foods
Carafi Noodles                                                      | 13         | Miscellaneous/Foods
Aloprat Skewer                                                      | 9          | Miscellaneous/Foods

Pyro - Bloom - Orbituary - Shops - Gear Up

Siebe Helmet                                                        | 12693      | Armor/Helmets
Calico Helmet Desert                                                | 1332       | Armor/Helmets
Levin Undersuit (Refurbished)                                       | 900        | Undersuits/Undersuits
Morozov-SH Core                                                     | 8629       | Armor/Torso
Lynx Arms Embark                                                    | 423        | Armor/Arms
Morozov-SH Arms Aftershock                                          | 3276       | Armor/Arms
Lynx Arms                                                           | 423        | Armor/Arms
Sinkhole Backpack                                                   | 1881       | Armor/Backpacks
J-5 Helmet Rust                                                     | 1161       | Armor/Helmets
Novikov Backpack                                                    | 7678       | Armor/Backpacks
Morozov-CH Backpack Thule                                           | 2160       | Armor/Backpacks
Calico Core Tactical                                                | 1602       | Armor/Torso
Why Not? Helmet                                                     | 923        | Armor/Helmets
Morozov-SH Legs                                                     | 3954       | Armor/Legs
Morozov-SH Helmet Aftershock                                        | 9867       | Armor/Helmets
Morozov-SH Helmet (01_01_01)                                        | 7157       | Armor/Helmets
Morozov-SH Legs Aftershock                                          | 5394       | Armor/Legs
Lynx Legs Embark                                                    | 747        | Armor/Legs
Lynx Legs                                                           | 747        | Armor/Legs
DustUp Core Tactical                                                | 1602       | Armor/Torso
DustUp Legs Tactical                                                | 1287       | Armor/Legs
J-5 Helmet Teal                                                     | 1161       | Armor/Helmets
Morozov-SH Arms (01_01_01)                                          | 2376       | Armor/Arms
Morozov-SH Core Aftershock                                          | 11682      | Armor/Torso
MacFlex Backpack White                                              | 1188       | Armor/Backpacks

Pyro - Bloom - Orbituary - Shops - Guns

P4-AR Rifle                                                         | 5909       | Personal Weapons/Personal Weapons
LH86 Pistol Magazine (25 cap)                                       | 132        | Personal Weapons/Attachments
Arden-SL Legs                                                       | 1181       | Armor/Legs
Deadrig Shotgun Magazine (8 cap)                                    | 508        | Personal Weapons/Attachments
S-38 Pistol                                                         | 1114       | Personal Weapons/Personal Weapons
P4-AR Magazine (40 cap)                                             | 400        | Personal Weapons/Attachments
S71 Rifle Magazine (30 cap)                                         | 236        | Personal Weapons/Attachments
Morningstar Helmet Base                                             | 2933       | Armor/Helmets
Inquisitor Legs Base                                                | 1287       | Armor/Legs
Ravager-212 Twin Shotgun Magazine (16 cap)                          | 547        | Personal Weapons/Attachments
Arden-SL Helmet                                                     | 1784       | Armor/Helmets
BR-2 Shotgun Magazine (12 cap)                                      | 188        | Personal Weapons/Attachments
Inquisitor Arms Base                                                | 952        | Armor/Arms
Ravager-212 Twin Shotgun                                            | 5387       | Personal Weapons/Personal Weapons
C54 SMG Magazine (50 cap)                                           | 465        | Personal Weapons/Attachments
MK-4 Frag Grenade                                                   | 486        | Personal Weapons/Personal Weapons
Sinkhole Backpack                                                   | 1881       | Armor/Backpacks
Oracle Helmet                                                       | 1161       | Armor/Helmets
Markanda Undersuit Deadwood (Refurbished)                           | 425        | Undersuits/Undersuits
Oracle Helmet Embark                                                | 1161       | Armor/Helmets
Arden-SL Arms                                                       | 675        | Armor/Arms
S-38 Magazine (20 cap)                                              | 113        | Personal Weapons/Attachments
P8-SC SMG Magazine (45 cap)                                         | 593        | Personal Weapons/Attachments
Coda Pistol Magazine (6 cap)                                        | 108        | Personal Weapons/Attachments
Inquisitor Core                                                     | 3624       | Armor/Torso
Courser Jeans Rust                                                  | 313        | Clothing/Legwear
Salvo Frag Pistol Magazine (8 cap)                                  | 57         | Personal Weapons/Attachments
Arden-SL Core                                                       | 756        | Armor/Torso
P6-LR Magazine (8 cap)                                              | 1006       | Personal Weapons/Attachments
LH86 Pistol                                                         | 1085       | Personal Weapons/Personal Weapons
R97 Shotgun Magazine (18 cap)                                       | 394        | Personal Weapons/Attachments
Scalpel Sniper Rifle                                                | 10125      | Personal Weapons/Personal Weapons
A03 Sniper Rifle Magazine (15 cap)                                  | 822        | Personal Weapons/Attachments
Morozov-CH Backpack                                                 | 2160       | Armor/Backpacks
Defiance Helmet Tactical                                            | 4704       | Armor/Helmets
Arden-CL Backpack                                                   | 1305       | Armor/Backpacks
Scalpel Sniper Rifle Magazine (12 cap)                              | 1135       | Personal Weapons/Attachments
F55 LMG Magazine (150 cap)                                          | 1750       | Personal Weapons/Attachments
WowBlast Desperado Toy Pistol Magazine (10 cap)                     | 5          | Personal Weapons/Attachments
P8-AR Rifle Magazine (15 Cap)                                       | 149        | Personal Weapons/Attachments
Tussock Boots Basalt                                                | 198        | Clothing/Footwear

Pyro - Bloom - Orbituary - Shops - Rotisserie Food

Aloprat Skewer                                                      | 9          | Miscellaneous/Foods

Pyro - Bloom - Orbituary - Shops - Sharp Shooters

FSK-8 Combat Knife                                                  | 1250       | Personal Weapons/Personal Weapons
