=== FPS ARMOR ===

=== HELMETS ===
Name                                               | Type            | Damage reduction | Min temp (°C) | Max temp (°C) | Radiation Resistnace (REM) | Radiation Scrub Rate (REM/s) | Capacity (μSCU) | Volume (μSCU) | Image
Artimex Helmet Hurston Dynamics Executive Security | Medium Armor    | 30%              | -61           | 91            | 26400                      | 145.8                        | 0               | 17000         |      
Calico Helmet Desert                               | Light Armor     | 20%              | -39           | 69            | 26000                      | 145.8                        | 0               | 12000         |      
CBH-3 Helmet Blue                                  | Light Armor     | 20%              | -40           | 70            | 26000                      | 145.8                        | 0               | 12000         |      
Balor HCH Helmet Crusader Edition                  | Heavy Armor     | 40%              | -75           | 105           | 26800                      | 145.8                        | 0               | 19000         |      
Morozov-SH-S Helmet Scorched                       | Heavy Armor     | 40%              | -90           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Morozov-SH Helmet Spite                            | Heavy Armor     | 40%              | -90           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Oracle Helmet Blue                                 | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Caudillo Helmet Steel                              | Heavy Armor     | 40%              | -30           | 60            | 26800                      | 145.8                        | 0               | 19000         |      
Geist Armor Helmet Desert                          | Light Armor     | 20%              | -35           | 65            | 26000                      | 145.8                        | 0               | 12000         |      
Mandible Firestrike Helmet                         | Light Armor     | 20%              | -35           | 65            | 26000                      | 145.8                        | 0               | 12000         |      
Argus Helmet White/Silver/Grey                     | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Venture Helmet Aqua                                | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
OMNI-AFS-Sapphire Helmet Alpine                    | Light Helmet    | 20%              | -35           | 65            | 26000                      | 145.8                        | 0               | 12000         |      
Venture Helmet Olive                               | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Deadhead Helmet (01_01_12)                         | Medium Armor    | 30%              | -50           | 80            | 26400                      | 145.8                        | 0               | 17000         |      
Voidripper Dark Cloud Helmet                       | Heavy Armor     | 40%              | -90           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Caudillo Helmet Wildfire                           | Heavy Armor     | 40%              | -30           | 60            | 26800                      | 145.8                        | 0               | 19000         |      
Balor HCH Helmet Dark Green                        | Heavy Armor     | 40%              | -75           | 105           | 26800                      | 145.8                        | 0               | 19000         |      
Morningstar Helmet Ignitor                         | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
Morningstar Helmet Base                            | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
Morozov-SH-I Helmet Pyrotechnic Iceflow            | Heavy Armor     | 40%              | -90           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Oracle Helmet Twilight                             | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Strata Helmet Pyrotechnic Edition                  | Medium Armor    | 30%              | -50           | 80            | 26400                      | 145.8                        | 0               | 17000         |      
Morningstar Helmet Imperial                        | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
Argus Helmet Black/Silver (01_01_15)               | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Odyssey II Helmet Lovestruck                       | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
Morningstar Helmet Orange                          | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
Zeus Exploration Helmet Starscape                  | Heavy Armor     | 40%              | -150          | 175           | 33600                      | 147.42                       | 0               | 19000         |      
Ana Armor Helmet Wao                               | Heavy Armor     | 40%              | -85           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Venture Helmet White (01_01_10)                    | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Death's Head Helmet                                | Medium Armor    | 30%              | -52           | 82            | 26400                      | 145.8                        | 0               | 17000         |      
Strata Helmet Shooting Star                        | Medium Armor    | 30%              | -50           | 80            | 26400                      | 145.8                        | 0               | 17000         |      
Defiance Helmet (Modified)                         | Heavy Armor     | 40%              | -72           | 102           | 26800                      | 145.8                        | 0               | 19000         |      
Venture Helmet White (01_01_01)                    | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Morningstar Helmet Twilight                        | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
G-2 Helmet Executive                               | Medium Armor    | 30%              | -55           | 85            | 26400                      | 145.8                        | 0               | 17000         |      
Stirling Exploration Helmet Tungsten Edition       | Heavy Utility   | 25%              |               |               |                            |                              | 0               | 19000         |      
Balor HCH Helmet Platinum                          | Heavy Armor     | 40%              | -75           | 105           | 26800                      | 145.8                        | 0               | 19000         |      
Morozov-SH-S Helmet Crusader Edition               | Heavy Armor     | 40%              | -97           | 121           | 26800                      | 145.8                        | 0               | 19000         |      
Odyssey II Helmet Imperial                         | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
Balor HCH Helmet Blue                              | Heavy Armor     | 40%              | -75           | 105           | 26800                      | 145.8                        | 0               | 19000         |      
Morningstar Helmet Sienna                          | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
G-2 Helmet Twilight                                | Medium Armor    | 30%              | -55           | 85            | 26400                      | 145.8                        | 0               | 17000         |      
Badami Helmet                                      | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Berserker Helmet                                   | Heavy Armor     | 40%              | -90           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
G-2 Helmet Dark Red                                | Medium Armor    | 30%              | -55           | 85            | 26400                      | 145.8                        | 0               | 17000         |      
Fieldsbury Dark Bear Helmet Blueberry              | Flight Helmet   | 10%              | -40           | 60            | 15200                      | 81                           | 0               | 15700         |      
J-5 Helmet                                         | Light Helmet    | 20%              | -25           | 65            | 15200                      | 81                           | 0               | 15700         |      
Argus Helmet Gold/Grey/Black                       | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Oracle Helmet White                                | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Morningstar Helmet Tan                             | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
Argus Helmet Black/Pink/Purple                     | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Deadhead Helmet Lucky Break                        | Medium Armor    | 30%              | -50           | 80            | 26400                      | 145.8                        | 0               | 17000         |      
Arden-SL Helmet (Modified)                         | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Oracle Helmet Olive                                | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Morningstar Helmet Rager                           | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
Arden-SL Helmet                                    | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Balor HCH Helmet                                   | Heavy Armor     | 40%              | -75           | 105           | 26800                      | 145.8                        | 0               | 19000         |      
Morningstar Helmet (Modified)                      | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
Fortifier Helmet Brimstone                         | Heavy Armor     | 40%              | -80           | 110           | 26800                      | 145.8                        | 0               | 19000         |      
Field Recon Suit Helmet (Opaque)                   | Light Armor     | 20%              | -35           | 65            | 26000                      | 145.8                        | 0               | 12000         |      
DustUp Helmet Firestarter                          | Medium Armor    | 30%              | -60           | 90            | 26400                      | 145.8                        | 0               | 17000         |      
Venture Helmet Purple                              | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Venture Helmet Green                               | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Caudillo Helmet (Modified)                         | Heavy Armor     | 40%              | -30           | 60            | 26800                      | 145.8                        | 0               | 19000         |      
Argus Helmet Black/Gold/Silver                     | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
G-2 Helmet Green                                   | Medium Armor    | 30%              | -55           | 85            | 26400                      | 145.8                        | 0               | 17000         |      
Oracle Helmet (Modified)                           | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
The Hill Horror Reborn Helmet                      | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
ORC-mkX Helmet Iceborn                             | Medium Armor    | 30%              | -63           | 93            | 26400                      | 145.8                        | 0               | 17000         |      
CBH-3 Helmet Base                                  | Light Armor     | 20%              | -40           | 70            | 26000                      | 145.8                        | 0               | 12000         |      
Voidripper Helmet                                  | Heavy Armor     | 40%              | -90           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Arden-SL Helmet Rime                               | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Oracle Helmet Sandstorm                            | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Artimex Helmet Starchaser                          | Medium Armor    | 30%              | -61           | 91            | 26400                      | 145.8                        | 0               | 17000         |      
G-2 Helmet Greycat Edition                         | Medium Armor    | 30%              | -55           | 85            | 26400                      | 145.8                        | 0               | 17000         |      
Overlord Helmet Switchback                         | Heavy Armor     | 40%              | -77           | 107           | 26800                      | 145.8                        | 0               | 19000         |      
J-5 Helmet Pyrotechnic                             | Light Helmet    | 20%              | -25           | 65            | 15200                      | 81                           | 0               | 15700         |      
Paladin Helmet Black/Gold/Red                      | Medium Armor    | 30%              | -61           | 91            | 26400                      | 145.8                        | 0               | 17000         |      
ADP-mk4 Helmet Righteous                           | Heavy Armor     | 40%              | -80           | 105           | 26800                      | 145.8                        | 0               | 19000         |      
DCP Armor Helmet Cobalt Camo                       | Heavy Armor     | 40%              | -70           | 100           | 26800                      | 145.8                        | 0               | 19000         |      
Odyssey II Helmet Violet                           | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
Oracle Helmet Pariah                               | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Balor HCH Helmet Yellow                            | Heavy Armor     | 40%              | -75           | 105           | 26800                      | 145.8                        | 0               | 19000         |      
FBL-8a Helmet Righteous                            | Light Armor     | 20%              | -35           | 65            | 26000                      | 145.8                        | 0               | 12000         |      
Venture Helmet Violet                              | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Morningstar Helmet Violet                          | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
Odyssey II Helmet Sienna                           | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
Morozov-SH Helmet Scorched-X                       | Heavy Armor     | 40%              | -90           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Pembroke Helmet RSI Edition (Modified)             | Heavy Utility   | 25%              | -75           | 225           | 33600                      | 147.42                       | 0               | 19000         |      
Strata Helmet Crusader Edition                     | Medium Armor    | 30%              | -50           | 80            | 26400                      | 145.8                        | 0               | 17000         |      
ORC-mkX Helmet Singularity                         | Medium Armor    | 30%              | -63           | 93            | 26400                      | 145.8                        | 0               | 17000         |      
Aves Starchaser Helmet                             | Medium Armor    | 30%              | -60           | 90            | 26400                      | 145.8                        | 0               | 17000         |      
Morningstar Helmet Aqua                            | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
Microid Battle Suit Helmet Lowland                 | Light Armor     | 20%              | -33           | 63            | 26000                      | 145.8                        | 0               | 12000         |      
G-2 Helmet Violet                                  | Medium Armor    | 30%              | -55           | 85            | 26400                      | 145.8                        | 0               | 17000         |      
Horizon Helmet (Carrack Edition)                   |                 | n/a              | -37           | 67            | 26000                      | 145.8                        | 0               | 12000         |      
J-5 Helmet Rust                                    | Light Helmet    | 20%              | -25           | 65            | 15200                      | 81                           | 0               | 15700         |      
Fortifier Helmet Maroon                            | Heavy Armor     | 40%              | -80           | 110           | 26800                      | 145.8                        | 0               | 19000         |      
Antium Armor Helmet Jet                            | Heavy Armor     | 40%              | -85           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Morningstar Helmet Olive                           | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
Stirling Hazard Helmet                             | Heavy Utility   | 25%              | -150          | 175           | 52800                      | 251.1                        | 0               | 19000         |      
ADP-mk4 Helmet (Modified)                          | Heavy Armor     | 40%              | -80           | 105           | 26800                      | 145.8                        | 0               | 19000         |      
Corbel Helmet Halcyon                              | Heavy Armor     | 40%              | -70           | 100           | 26800                      | 145.8                        | 0               | 19000         |      
Argus Helmet Red/Silver                            | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
DustUp Helmet Desert                               | Medium Armor    | 30%              | -60           | 90            | 26400                      | 145.8                        | 0               | 17000         |      
Morozov-SH-S Helmet Terrene                        | Heavy Armor     | 40%              | -90           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Oracle Helmet Dark Green                           | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Balor HCH Helmet Grey                              | Heavy Armor     | 40%              | -75           | 105           | 26800                      | 145.8                        | 0               | 19000         |      
Morningstar Helmet Earthwork                       | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
Mirai Racing Helmet                                | Helmet          | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
Deadhead Helmet (01_01_07)                         | Medium Armor    | 30%              | -50           | 80            | 26400                      | 145.8                        | 0               | 17000         |      
CBH-3 Helmet Yellow                                | Light Armor     | 20%              | -40           | 70            | 26000                      | 145.8                        | 0               | 12000         |      
Survivalist Heavy Helmet Orange                    | Heavy Armor     | 40%              | -77           | 107           | 26800                      | 145.8                        | 0               | 19000         |      
Ana Armor Helmet Endro                             | Heavy Armor     | 40%              | -85           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Argus Helmet Black/Grey/Red                        | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Oracle Helmet Grey                                 | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Horizon Helmet Black                               | Light Armor     | 20%              | -37           | 67            | 26000                      | 145.8                        | 0               | 12000         |      
Venture Helmet "Rust Society"                      | Light Armor     | 20%              | -37           | 67            | 26000                      | 145.8                        | 0               | 12000         |      
CBH-3 Helmet Orange                                | Light Armor     | 20%              | -40           | 70            | 26000                      | 145.8                        | 0               | 12000         |      
Oracle Helmet                                      | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Morozov-SH-C Helmet Brushdrift                     | Heavy Armor     | 40%              | -95           | 120           | 26800                      | 145.8                        | 0               | 19000         |      
Calva Helmet                                       | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
The Butcher Helmet (XT)                            | Medium Armor    | 30%              | -52           | 82            | 26400                      | 145.8                        | 0               | 17000         |      
Horizon Helmet Seagreen                            | Light Armor     | 20%              | -37           | 67            | 26000                      | 145.8                        | 0               | 12000         |      
Fortifier Helmet Dark Green                        | Heavy Armor     | 40%              | -80           | 110           | 26800                      | 145.8                        | 0               | 19000         |      
Morozov-SH Helmet Red Alert                        | Heavy Armor     | 40%              | -90           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Venture Helmet Carrack Edition                     | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Stoneskin Helmet Tactical                          | Undersuit       | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
Morningstar Helmet Black                           | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
Argus Helmet Black/Silver (01_01_11)               | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Horizon Helmet White                               | Light Armor     | 20%              | -37           | 67            | 26000                      | 145.8                        | 0               | 12000         |      
Argus Helmet Yellow/Grey                           | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
CBH-3 Helmet Crusader Edition                      | Light Armor     | 20%              | -40           | 70            | 26000                      | 145.8                        | 0               | 12000         |      
Morningstar Helmet Dark Red                        | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
G-2 Helmet Crusader Edition                        | Medium Armor    | 30%              | -55           | 85            | 26400                      | 145.8                        | 0               | 17000         |      
Odyssey II Helmet Black                            | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
G-2 Helmet Black                                   | Medium Armor    | 30%              | -55           | 85            | 26400                      | 145.8                        | 0               | 17000         |      
Argus Helmet Silver/Gold/Grey                      | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Horizon Helmet Tan                                 | Light Armor     | 20%              | -37           | 67            | 26000                      | 145.8                        | 0               | 12000         |      
Strata Helmet Hurston Edition                      | Medium Armor    | 30%              | -50           | 80            | 26400                      | 145.8                        | 0               | 17000         |      
Calva Helmet Daybreaker                            | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
ADP-mk4 Helmet Big Boss                            | Heavy Armor     | 40%              | -70           | 100           | 26800                      | 145.8                        | 0               | 19000         |      
Balor HCH Helmet Red                               | Heavy Armor     | 40%              | -75           | 105           | 26800                      | 145.8                        | 0               | 19000         |      
Oracle Helmet Yellow                               | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
ORC-mkX Helmet Arctic                              | Medium Armor    | 30%              | -61           | 91            | 26400                      | 145.8                        | 0               | 17000         |      
FBL-8a Helmet (Modified) (04_01_xenothreat)        | Light Armor     | 20%              | -35           | 65            | 26000                      | 145.8                        | 0               | 12000         |      
Aril Helmet Quicksilver                            | Medium Armor    | 30%              | -61           | 91            | 26400                      | 145.8                        | 0               | 17000         |      
Strata Helmet Shubin Edition                       | Medium Armor    | 30%              | -50           | 80            | 26400                      | 145.8                        | 0               | 17000         |      
